        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                   -0.0001553172
                   0.003                  -0.00026342977
            0.0060000001                  -0.00057633508
            0.0089999996                   -0.0010513444
                   0.012                   -0.0016261194
                   0.015                   -0.0022234181
             0.017999999                   -0.0027671897
                   0.021                   -0.0031831851
                   0.024                   -0.0034188543
             0.027000001                   -0.0034421946
             0.029999999                   -0.0032516736
                   0.033                   -0.0028723633
             0.035999998                   -0.0023527347
             0.039000001                   -0.0017605115
             0.041999999                    -0.001170772
             0.045000002                   -0.0006560453
                   0.048                  -0.00027884953
             0.050999999                  -7.9858166e-05
             0.054000001                  -7.4603828e-05
                   0.057                  -0.00025097537
             0.059999999                  -0.00057427241
             0.063000001                   -0.0009874936
                   0.066                   -0.0014219655
             0.068999998                   -0.0018087082
             0.071999997                   -0.0020858777
             0.075000003                   -0.0022101025
             0.078000002                   -0.0021589485
                   0.081                    -0.001938271
             0.083999999                   -0.0015820206
             0.086999997                   -0.0011438873
             0.090000004                  -0.00069355812
             0.093000002                  -0.00030814286
             0.096000001                  -5.7572736e-05
             0.098999999                  -8.5717059e-08
                   0.102                  -0.00017093214
                   0.105                   -0.0005795583
                   0.108                   -0.0012069793
                   0.111                    -0.002010683
                   0.114                   -0.0029270117
                   0.117                   -0.0038845804
                    0.12                   -0.0048098289
                   0.123                   -0.0056413244
                   0.126                   -0.0063343224
              0.12899999                   -0.0068709337
                   0.132                   -0.0072616637
              0.13500001                   -0.0075419321
                   0.138                    -0.007771508
                   0.141                   -0.0080230242
              0.14399999                   -0.0083749151
                   0.147                   -0.0088950921
              0.15000001                   -0.0096411627
                   0.153                    -0.010640228
                   0.156                    -0.011894757
              0.15899999                    -0.013377889
                   0.162                    -0.015032931
              0.16500001                     -0.01678843
                   0.168                    -0.018562573
                   0.171                    -0.020272671
              0.17399999                    -0.021852715
                   0.177                    -0.023254534
              0.18000001                    -0.024461784
                   0.183                    -0.025488537
                   0.186                    -0.026380289
                   0.189                    -0.027203803
                   0.192                    -0.028045004
              0.19499999                    -0.028993861
                   0.198                    -0.030134644
              0.20100001                    -0.031535599
                   0.204                    -0.033239599
                   0.207                    -0.035260921
              0.20999999                    -0.037584143
                   0.213                    -0.040167597
              0.21600001                    -0.042952728
                   0.219                    -0.045870977
                   0.222                    -0.048858054
              0.22499999                     -0.05186469
                   0.228                     -0.05486674
              0.23100001                     -0.05786836
                   0.234                    -0.060909607
                   0.237                    -0.064059823
              0.23999999                    -0.067414545
                   0.243                    -0.071082331
              0.24600001                    -0.075179078
                   0.249                    -0.079806439
                   0.252                    -0.085053006
                   0.255                     -0.09097763
              0.25799999                    -0.097606275
              0.26100001                     -0.10493692
                   0.264                     -0.11294077
              0.26699999                     -0.12157479
              0.27000001                     -0.13078829
                   0.273                     -0.14054097
              0.27599999                     -0.15081415
              0.27900001                     -0.16162305
              0.28200001                     -0.17302002
                   0.285                     -0.18509892
              0.28799999                     -0.19799307
              0.29100001                     -0.21186424
                   0.294                     -0.22689621
              0.29699999                     -0.24327722
              0.30000001                     -0.26118868
                   0.303                     -0.28079041
              0.30599999                     -0.30221605
              0.30899999                     -0.32556528
              0.31200001                     -0.35090731
                   0.315                     -0.37828581
              0.31799999                      -0.4077364
              0.32100001                     -0.43929491
                   0.324                      -0.4730187
              0.32699999                     -0.50900572
              0.33000001                     -0.54740523
                   0.333                     -0.58842662
                   0.336                     -0.63234956
              0.33899999                      -0.6795145
              0.34200001                     -0.73032165
                   0.345                     -0.78521282
              0.34799999                     -0.84465982
              0.35100001                     -0.90914451
                   0.354                     -0.97914647
              0.35699999                      -1.0551325
              0.36000001                      -1.1375522
              0.36300001                      -1.2268417
                   0.366                      -1.3234398
              0.36899999                      -1.4278022
              0.37200001                      -1.5404355
                   0.375                      -1.6619249
              0.37799999                       -1.792975
              0.38100001                      -1.9344403
                   0.384                      -2.0873611
              0.38699999                      -2.2529853
              0.38999999                      -2.4327959
              0.39300001                      -2.6285112
                   0.396                       -2.842101
              0.39899999                       -3.075775
              0.40200001                      -3.3319872
                   0.405                      -3.6134281
              0.40799999                      -3.9230342
              0.41100001                      -4.2639956
                   0.414                      -4.6397953
                   0.417                      -5.0542644
              0.41999999                       -5.511667
              0.42300001                      -6.0168444
                   0.426                      -6.5754026
              0.42899999                      -7.1940099
              0.43200001                      -7.8808082
                   0.435                      -8.6460274
              0.43799999                      -9.5029094
              0.44100001                      -10.469144
              0.44400001                      -11.569191
                   0.447                      -12.838262
              0.44999999                       -14.32956
              0.45300001                      -16.128673
                   0.456                      -18.385469
              0.45899999                      -21.395827
              0.46200001                      -25.848666
                   0.465                      -33.033763
              0.46799999                      -30.633163
              0.47099999                      -24.429571
              0.47400001                      -20.651152
                   0.477                      -18.031419
              0.47999999                      -16.049588
              0.48300001                      -14.469457
                   0.486                      -13.166156
              0.48899999                      -12.066087
              0.49200001                      -11.122305
                   0.495                      -10.302995
                   0.498                      -9.5855016
              0.50099999                      -8.9529957
              0.50400001                       -8.392503
              0.50700003                      -7.8936726
              0.50999999                      -7.4480037
              0.51300001                      -7.0483309
              0.51599997                      -6.6885027
              0.51899999                      -6.3631637
              0.52200001                      -6.0676289
              0.52499998                      -5.7978067
                   0.528                      -5.5501539
              0.53100002                      -5.3216515
              0.53399998                      -5.1097823
                   0.537                      -4.9125074
              0.54000002                      -4.7282266
              0.54299998                      -4.5557289
                   0.546                      -4.3941252
              0.54900002                      -4.2427776
              0.55199999                      -4.1012119
              0.55500001                      -3.9690415
              0.55800003                      -3.8458984
              0.56099999                      -3.7313721
              0.56400001                       -3.624969
              0.56699997                      -3.5260956
              0.56999999                      -3.4340575
              0.57300001                      -3.3480808
              0.57599998                      -3.2673451
                   0.579                      -3.1910327
              0.58200002                       -3.118381
              0.58499998                      -3.0487301
                   0.588                      -2.9815589
              0.59100002                      -2.9165191
              0.59399998                      -2.8534356
                   0.597                      -2.7922934
              0.60000002                      -2.7332171
              0.60299999                      -2.6764139
              0.60600001                      -2.6221278
              0.60900003                        -2.57059
              0.61199999                      -2.5219583
              0.61500001                      -2.4762944
              0.61799997                       -2.433527
              0.62099999                      -2.3934541
              0.62400001                      -2.3557566
              0.62699997                      -2.3200252
                    0.63                      -2.2858028
              0.63300002                      -2.2526355
              0.63599998                      -2.2201167
                   0.639                      -2.1879409
              0.64200002                       -2.155928
              0.64499998                      -2.1240438
                   0.648                      -2.0923956
              0.65100002                      -2.0612086
              0.65399998                      -2.0307969
              0.65700001                      -2.0015084
              0.66000003                      -1.9736782
              0.66299999                       -1.947576
              0.66600001                       -1.923372
              0.66900003                       -1.901102
              0.67199999                      -1.8806646
              0.67500001                      -1.8618269
              0.67799997                      -1.8442511
              0.68099999                      -1.8275353
              0.68400002                       -1.811262
              0.68699998                      -1.7950512
